case_number,reason,total_txt_docs,non_outcome_txt_docs,has_claim_doc
CSM25870194,only_outcome_docs_present,1,0,no
CSM25870195,only_outcome_docs_present,2,0,no
CSM25870196,only_outcome_docs_present,3,0,no
CSM25870197,only_outcome_docs_present,2,0,no
CSM25870198,only_outcome_docs_present,3,0,no
CSM25870199,only_outcome_docs_present,4,0,no
CSM25870200,only_outcome_docs_present,4,0,no
CSM25870201,only_outcome_docs_present,6,0,no
CSM25870202,only_outcome_docs_present,2,0,no
CSM25870203,only_outcome_docs_present,2,0,no
CSM25870204,only_outcome_docs_present,2,0,no
CSM25870205,only_outcome_docs_present,2,0,no
CSM25870206,only_outcome_docs_present,2,0,no
CSM25870207,only_outcome_docs_present,4,0,no
CSM25870208,only_outcome_docs_present,3,0,no
CSM25870209,only_outcome_docs_present,2,0,no
CSM25870210,only_outcome_docs_present,3,0,no
CSM25870211,only_outcome_docs_present,4,0,no
CSM25870212,only_outcome_docs_present,5,0,no
CSM25870213,only_outcome_docs_present,4,0,no
CSM25870214,only_outcome_docs_present,5,0,no
CSM25870215,only_outcome_docs_present,7,0,no
CSM25870216,only_outcome_docs_present,5,0,no
CSM25870217,only_outcome_docs_present,1,0,no
CSM25870218,only_outcome_docs_present,3,0,no
CSM25870219,only_outcome_docs_present,3,0,no
CSM25870220,only_outcome_docs_present,2,0,no
CSM25870221,only_outcome_docs_present,2,0,no
CSM25870222,only_outcome_docs_present,2,0,no
CSM25870223,only_outcome_docs_present,2,0,no
CSM25870224,only_outcome_docs_present,3,0,no
CSM25870225,only_outcome_docs_present,5,0,no
CSM25870226,only_outcome_docs_present,4,0,no
CSM25870227,only_outcome_docs_present,2,0,no
CSM25870228,only_outcome_docs_present,2,0,no
CSM25870229,only_outcome_docs_present,2,0,no
CSM25870230,only_outcome_docs_present,2,0,no
CSM25870231,only_outcome_docs_present,3,0,no
CSM25870232,only_outcome_docs_present,3,0,no
CSM25870233,only_outcome_docs_present,2,0,no
CSM25870234,only_outcome_docs_present,2,0,no
CSM25870235,only_outcome_docs_present,4,0,no
CSM25870236,only_outcome_docs_present,2,0,no
CSM25870237,only_outcome_docs_present,2,0,no
CSM25870238,only_outcome_docs_present,1,0,no
CSM25870239,only_outcome_docs_present,5,0,no
CSM25870240,only_outcome_docs_present,4,0,no
CSM25870241,only_outcome_docs_present,2,0,no
CSM25870242,only_outcome_docs_present,2,0,no
CSM25870243,only_outcome_docs_present,2,0,no
CSM25870244,only_outcome_docs_present,2,0,no
CSM25870245,only_outcome_docs_present,3,0,no
CSM25870246,only_outcome_docs_present,3,0,no
CSM25870247,only_outcome_docs_present,1,0,no
CSM25870248,only_outcome_docs_present,2,0,no
CSM25870249,only_outcome_docs_present,3,0,no
CSM25870250,only_outcome_docs_present,3,0,no
CSM25870251,only_outcome_docs_present,2,0,no
CSM25870252,only_outcome_docs_present,5,0,no
CSM25870253,only_outcome_docs_present,4,0,no
CSM25870254,only_outcome_docs_present,6,0,no
CSM25870255,only_outcome_docs_present,2,0,no
CSM25870256,only_outcome_docs_present,1,0,no
CSM25870257,only_outcome_docs_present,3,0,no
CSM25870258,only_outcome_docs_present,2,0,no
CSM25870259,only_outcome_docs_present,6,0,no
CSM25870260,only_outcome_docs_present,2,0,no
CSM25870261,only_outcome_docs_present,3,0,no
CSM25870262,only_outcome_docs_present,3,0,no
CSM25870263,only_outcome_docs_present,3,0,no
CSM25870264,only_outcome_docs_present,2,0,no
CSM25870265,only_outcome_docs_present,3,0,no
CSM25870266,only_outcome_docs_present,6,0,no
CSM25870267,only_outcome_docs_present,4,0,no
CSM25870268,only_outcome_docs_present,1,0,no
CSM25870269,only_outcome_docs_present,3,0,no
CSM25870270,only_outcome_docs_present,5,0,no
CSM25870271,only_outcome_docs_present,3,0,no
CSM25870272,only_outcome_docs_present,5,0,no
CSM25870273,only_outcome_docs_present,4,0,no
CSM25870274,only_outcome_docs_present,3,0,no
CSM25870275,only_outcome_docs_present,6,0,no
CSM25870276,only_outcome_docs_present,4,0,no
CSM25870277,only_outcome_docs_present,2,0,no
CSM25870278,only_outcome_docs_present,5,0,no
CSM25870279,only_outcome_docs_present,2,0,no
CSM25870280,only_outcome_docs_present,3,0,no
CSM25870281,only_outcome_docs_present,3,0,no
CSM25870282,only_outcome_docs_present,2,0,no
CSM25870283,only_outcome_docs_present,2,0,no
CSM25870284,only_outcome_docs_present,2,0,no
CSM25870285,only_outcome_docs_present,4,0,no
CSM25870286,only_outcome_docs_present,2,0,no
CSM25870287,only_outcome_docs_present,1,0,no
CSM25870288,only_outcome_docs_present,3,0,no
CSM25870289,only_outcome_docs_present,2,0,no
CSM25870290,only_outcome_docs_present,6,0,no
CSM25870291,only_outcome_docs_present,3,0,no
CSM25870292,only_outcome_docs_present,1,0,no
CSM25870293,only_outcome_docs_present,2,0,no
CSM25870294,only_outcome_docs_present,2,0,no
CSM25870295,only_outcome_docs_present,6,0,no
CSM25870296,only_outcome_docs_present,2,0,no
CSM25870297,only_outcome_docs_present,1,0,no
CSM25870298,only_outcome_docs_present,2,0,no
CSM25870299,only_outcome_docs_present,3,0,no
CSM25870300,only_outcome_docs_present,1,0,no
CSM25870301,only_outcome_docs_present,2,0,no
CSM25870302,only_outcome_docs_present,5,0,no
CSM25870303,only_outcome_docs_present,2,0,no
CSM25870304,only_outcome_docs_present,1,0,no
CSM25870305,only_outcome_docs_present,2,0,no
CSM25870306,only_outcome_docs_present,2,0,no
CSM25870307,only_outcome_docs_present,2,0,no
CSM25870308,only_outcome_docs_present,3,0,no
CSM25870309,only_outcome_docs_present,2,0,no
CSM25870310,only_outcome_docs_present,2,0,no
CSM25870311,only_outcome_docs_present,2,0,no
CSM25870312,only_outcome_docs_present,3,0,no
CSM25870313,only_outcome_docs_present,2,0,no
CSM25870314,only_outcome_docs_present,2,0,no
CSM25870315,only_outcome_docs_present,2,0,no
CSM25870316,only_outcome_docs_present,2,0,no
CSM25870317,only_outcome_docs_present,2,0,no
CSM25870318,only_outcome_docs_present,5,0,no
CSM25870319,only_outcome_docs_present,3,0,no
CSM25870320,only_outcome_docs_present,2,0,no
CSM25870321,only_outcome_docs_present,2,0,no
CSM25870322,only_outcome_docs_present,1,0,no
CSM25870323,only_outcome_docs_present,2,0,no
CSM25870324,only_outcome_docs_present,3,0,no
CSM25870325,only_outcome_docs_present,2,0,no
CSM25870326,only_outcome_docs_present,4,0,no
CSM25870327,only_outcome_docs_present,2,0,no
CSM25870328,only_outcome_docs_present,3,0,no
CSM25870329,only_outcome_docs_present,2,0,no
CSM25870330,only_outcome_docs_present,6,0,no
CSM25870331,only_outcome_docs_present,3,0,no
CSM25870332,only_outcome_docs_present,1,0,no
CSM25870333,only_outcome_docs_present,3,0,no
CSM25870334,only_outcome_docs_present,2,0,no
CSM25870335,only_outcome_docs_present,2,0,no
CSM25870336,only_outcome_docs_present,1,0,no
CSM25870337,only_outcome_docs_present,6,0,no
CSM25870338,only_outcome_docs_present,2,0,no
CSM25870339,only_outcome_docs_present,3,0,no
CSM25870340,only_outcome_docs_present,2,0,no
CSM25870341,only_outcome_docs_present,3,0,no
CSM25870342,only_outcome_docs_present,2,0,no
CSM25870343,only_outcome_docs_present,4,0,no
CSM25870344,only_outcome_docs_present,3,0,no
CSM25870345,only_outcome_docs_present,5,0,no
CSM25870346,only_outcome_docs_present,3,0,no
CSM25870347,only_outcome_docs_present,4,0,no
CSM25870348,only_outcome_docs_present,2,0,no
CSM25870349,only_outcome_docs_present,2,0,no
CSM25870350,only_outcome_docs_present,2,0,no
CSM25870351,only_outcome_docs_present,2,0,no
CSM25870352,only_outcome_docs_present,1,0,no
CSM25870353,only_outcome_docs_present,2,0,no
CSM25870354,only_outcome_docs_present,1,0,no
CSM25870355,only_outcome_docs_present,2,0,no
CSM25870356,only_outcome_docs_present,3,0,no
CSM25870357,only_outcome_docs_present,1,0,no
CSM25870358,only_outcome_docs_present,5,0,no
CSM25870359,only_outcome_docs_present,1,0,no
CSM25870360,only_outcome_docs_present,3,0,no
CSM25870361,only_outcome_docs_present,3,0,no
CSM25870362,only_outcome_docs_present,4,0,no
CSM25870363,only_outcome_docs_present,2,0,no
CSM25870364,only_outcome_docs_present,3,0,no
CSM25870365,only_outcome_docs_present,3,0,no
CSM25870366,only_outcome_docs_present,3,0,no
CSM25870367,only_outcome_docs_present,2,0,no
CSM25870368,only_outcome_docs_present,3,0,no
CSM25870369,only_outcome_docs_present,2,0,no
CSM25870370,only_outcome_docs_present,2,0,no
CSM25870371,only_outcome_docs_present,5,0,no
CSM25870372,only_outcome_docs_present,2,0,no
CSM25870373,only_outcome_docs_present,2,0,no
CSM25870374,only_outcome_docs_present,4,0,no
CSM25870375,only_outcome_docs_present,2,0,no
CSM25870376,only_outcome_docs_present,3,0,no
CSM25870377,only_outcome_docs_present,3,0,no
CSM25870378,only_outcome_docs_present,1,0,no
CSM25870379,only_outcome_docs_present,2,0,no
CSM25870380,only_outcome_docs_present,3,0,no
CSM25870381,only_outcome_docs_present,2,0,no
CSM25870382,only_outcome_docs_present,2,0,no
CSM25870383,only_outcome_docs_present,2,0,no
CSM25870384,only_outcome_docs_present,2,0,no
CSM25870385,only_outcome_docs_present,2,0,no
CSM25870386,only_outcome_docs_present,3,0,no
CSM25870387,only_outcome_docs_present,4,0,no
CSM25870388,only_outcome_docs_present,2,0,no
CSM25870389,only_outcome_docs_present,2,0,no
CSM25870390,only_outcome_docs_present,2,0,no
CSM25870391,only_outcome_docs_present,3,0,no
CSM25870392,only_outcome_docs_present,1,0,no
CSM25870393,only_outcome_docs_present,2,0,no
CSM25870394,only_outcome_docs_present,6,0,no
CSM25870395,only_outcome_docs_present,2,0,no
CSM25870396,only_outcome_docs_present,2,0,no
CSM25870397,only_outcome_docs_present,2,0,no
CSM25870398,only_outcome_docs_present,5,0,no
CSM25870399,only_outcome_docs_present,3,0,no
CSM25870400,only_outcome_docs_present,3,0,no
CSM25870401,only_outcome_docs_present,3,0,no
CSM25870402,only_outcome_docs_present,4,0,no
CSM25870403,only_outcome_docs_present,2,0,no
CSM25870404,only_outcome_docs_present,4,0,no
CSM25870405,only_outcome_docs_present,2,0,no
CSM25870406,only_outcome_docs_present,2,0,no
CSM25870407,only_outcome_docs_present,2,0,no
CSM25870408,only_outcome_docs_present,3,0,no
CSM25870409,only_outcome_docs_present,6,0,no
CSM25870410,only_outcome_docs_present,3,0,no
CSM25870411,only_outcome_docs_present,3,0,no
CSM25870412,only_outcome_docs_present,2,0,no
CSM25870413,only_outcome_docs_present,3,0,no
CSM25870414,only_outcome_docs_present,2,0,no
CSM25870415,only_outcome_docs_present,4,0,no
CSM25870416,only_outcome_docs_present,3,0,no
CSM25870417,only_outcome_docs_present,1,0,no
CSM25870418,only_outcome_docs_present,2,0,no
CSM25870419,only_outcome_docs_present,2,0,no
CSM25870420,only_outcome_docs_present,2,0,no
CSM25870421,only_outcome_docs_present,2,0,no
CSM25870422,only_outcome_docs_present,1,0,no
CSM25870423,only_outcome_docs_present,2,0,no
CSM25870424,only_outcome_docs_present,1,0,no
CSM25870425,only_outcome_docs_present,2,0,no
CSM25870426,only_outcome_docs_present,3,0,no
CSM25870427,only_outcome_docs_present,2,0,no
CSM25870428,only_outcome_docs_present,2,0,no
CSM25870429,only_outcome_docs_present,2,0,no
CSM25870430,only_outcome_docs_present,2,0,no
CSM25870431,only_outcome_docs_present,2,0,no
CSM25870432,only_outcome_docs_present,2,0,no
CSM25870433,only_outcome_docs_present,3,0,no
CSM25870434,only_outcome_docs_present,2,0,no
CSM25870435,only_outcome_docs_present,2,0,no
CSM25870436,only_outcome_docs_present,1,0,no
CSM25870437,only_outcome_docs_present,4,0,no
CSM25870438,only_outcome_docs_present,2,0,no
CSM25870439,only_outcome_docs_present,1,0,no
CSM25870440,only_outcome_docs_present,2,0,no
CSM25870441,only_outcome_docs_present,2,0,no
CSM25870442,only_outcome_docs_present,4,0,no
CSM25870443,only_outcome_docs_present,3,0,no
CSM25870444,only_outcome_docs_present,2,0,no
CSM25870445,only_outcome_docs_present,2,0,no
CSM25870446,only_outcome_docs_present,2,0,no
CSM25870447,only_outcome_docs_present,1,0,no
CSM25870448,only_outcome_docs_present,2,0,no
CSM25870449,only_outcome_docs_present,6,0,no
CSM25870450,only_outcome_docs_present,2,0,no
CSM25870451,only_outcome_docs_present,3,0,no
CSM25870452,only_outcome_docs_present,3,0,no
CSM25870453,only_outcome_docs_present,4,0,no
CSM25870454,only_outcome_docs_present,2,0,no
CSM25870455,only_outcome_docs_present,2,0,no
CSM25870456,only_outcome_docs_present,3,0,no
CSM25870457,only_outcome_docs_present,2,0,no
CSM25870458,only_outcome_docs_present,1,0,no
CSM25870459,only_outcome_docs_present,5,0,no
CSM25870460,only_outcome_docs_present,2,0,no
CSM25870461,only_outcome_docs_present,5,0,no
CSM25870462,only_outcome_docs_present,3,0,no
CSM25870463,only_outcome_docs_present,1,0,no
CSM25870464,only_outcome_docs_present,3,0,no
CSM25870465,only_outcome_docs_present,2,0,no
CSM25870466,only_outcome_docs_present,1,0,no
CSM25870467,only_outcome_docs_present,3,0,no
CSM25870468,only_outcome_docs_present,5,0,no
CSM25870469,only_outcome_docs_present,2,0,no
CSM25870470,only_outcome_docs_present,3,0,no
CSM25870471,only_outcome_docs_present,2,0,no
CSM25870472,only_outcome_docs_present,2,0,no
CSM25870473,only_outcome_docs_present,2,0,no
CSM25870474,only_outcome_docs_present,2,0,no
CSM25870475,only_outcome_docs_present,2,0,no
CSM25870476,only_outcome_docs_present,5,0,no
CSM25870477,only_outcome_docs_present,3,0,no
CSM25870478,only_outcome_docs_present,5,0,no
CSM25870479,only_outcome_docs_present,3,0,no
CSM25870480,only_outcome_docs_present,4,0,no
CSM25870481,only_outcome_docs_present,3,0,no
CSM25870482,only_outcome_docs_present,6,0,no
CSM25870483,only_outcome_docs_present,2,0,no
CSM25870484,only_outcome_docs_present,2,0,no
CSM25870485,only_outcome_docs_present,2,0,no
CSM25870486,only_outcome_docs_present,5,0,no
CSM25870487,only_outcome_docs_present,2,0,no
CSM25870488,only_outcome_docs_present,1,0,no
